time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1.3351e-307	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735008	0.629142	7.21178	-3.93148e-17	4.47899e-17	radar	74.4774	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16051	0.494921	7.2149	-0.127132	-0.0118598	lidar	0.220629	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25787	0.53314	7.19981	0.122288	0.030601	radar	1.82547	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61596	0.595333	7.21355	0.161274	0.0463444	lidar	0.166696	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85117	0.562259	5.99621	0.02679	-0.22862	radar	7.5231	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16248	0.591823	5.99613	0.0413811	-0.173398	lidar	0.251483	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.3782	0.638239	5.57739	0.0599709	-0.313698	radar	5.98704	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65449	0.655928	5.57564	0.0491404	-0.295447	lidar	0.0062052	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92094	0.649908	5.50865	0.0031416	-0.440181	radar	0.329528	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15588	0.646347	5.4635	-0.00990839	-0.409428	lidar	1.16176	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44192	0.542277	5.50132	-0.159448	-0.830362	radar	1.32241	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74525	0.429423	5.57555	-0.280949	-1.06412	lidar	2.15868	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02545	0.514464	5.54073	-0.141717	-0.532317	radar	4.09331	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29902	0.507058	5.51975	-0.134243	-0.449179	lidar	0.34558	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55819	0.546255	5.41279	-0.0896623	-0.301762	radar	1.89215	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.74382	0.656444	5.22505	0.0151463	-0.0473526	lidar	12.3726	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.99502	0.655995	5.14014	0.00757769	-0.0586437	radar	1.47841	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.29458	0.650762	5.20406	-0.00237749	-0.0722947	lidar	2.67306	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.55372	0.65739	5.26015	0.00206457	-0.0557148	radar	1.84759	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.8479	0.672375	5.30346	0.00872621	-0.0396999	lidar	1.67806	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08945	0.598588	5.20615	-0.046781	-0.131737	radar	3.49843	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.34308	0.713029	5.18001	0.0312922	0.00559395	lidar	3.80789	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.59294	0.745144	5.13565	0.0467044	0.0288572	radar	0.433506	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.83899	0.743195	5.12236	0.0397064	0.0159856	lidar	0.224209	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.08065	0.726293	5.01158	0.0228408	-0.0130471	radar	2.44897	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.29736	0.812006	4.96023	0.0712946	0.0607508	lidar	2.82808	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.59252	0.822983	5.13128	0.0692542	0.0539689	radar	4.94159	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.84318	0.80005	5.12347	0.0482418	0.0191773	lidar	0.50982	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.0918	0.817597	5.0406	0.0513581	0.0205483	radar	2.20934	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.32809	0.835477	5.01883	0.0557553	0.0256686	lidar	0.340155	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.59885	0.929047	5.16757	0.103071	0.095294	radar	6.97961	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.83666	0.99021	5.14217	0.127982	0.125012	lidar	0.678378	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12725	1.03094	5.2133	0.136301	0.127249	radar	6.79779	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36519	1.06346	5.18383	0.141736	0.126272	lidar	0.638463	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64478	1.14203	5.25027	0.169523	0.157144	radar	4.36771	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.91909	1.27654	5.29115	0.225921	0.227616	lidar	2.78573	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1643	1.37815	5.19479	0.263972	0.270778	radar	4.55903	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3878	1.45645	5.1593	0.284741	0.281995	lidar	1.01583	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6159	1.55171	5.03682	0.317062	0.315152	radar	3.41094	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
